ts,battery_level_pct
1467205061,90
1467205061,90
1467205272,90
1467205272,90
1467205872,90
1467205872,90
1467206010,90
1467206010,90
1467206011,90
1467206011,90
1467206068,90
1467206069,90
1467206159,90
1467206161,90
1467206472,90
1467206472,90
1467206483,90
1467206484,90
1467206584,90
1467206585,90
1467206743,90
1467206743,90
1467206743,90
1467206743,90
1467207072,90
1467207072,90
1467207672,90
1467207672,90
1467207695,90
1467207695,90
1467207785,90
1467207787,90
1467207812,90
1467207812,90
1467207814,90
1467208272,90
1467208272,90
1467208424,90
1467208424,90
1467208424,90
1467208424,90
1467208424,90
1467208424,90
1467208800,90
1467208800,90
1467208872,90
1467208872,90
1467209472,90
1467209472,90
1467209611,90
1467209612,90
1467209612,90
1467209615,90
1467210072,90
1467210072,90
1467210103,90
1467210103,90
1467210104,90
1467210104,90
1467210104,90
1467210104,90
1467210104,90
1467210104,90
1467210106,90
1467210193,90
1467210195,90
1467210672,90
1467210672,90
1467211272,90
1467211272,90
1467211306,90
1467211306,90
1467211396,90
1467211398,90
1467211414,90
1467211414,90
1467211416,90
1467211698,90
1467211700,90
1467211786,90
1467211786,90
1467211786,90
1467211786,90
1467211872,90
1467211873,90
1467212472,90
1467212472,90
1467212809,90
1467212809,90
1467212816,90
1467212817,90
1467212877,90
1467212879,90
1467212879,90
1467212885,90
1467212887,90
1467212888,90
1467212889,90
1467212891,90
1467212891,90
1467212893,90
1467212898,90
1467212901,90
1467212907,90
1467212911,90
1467212911,90
1467212911,90
1467212919,90
1467212919,90
1467212919,90
1467212920,90
1467212921,90
1467212921,90
1467212921,90
1467212922,90
1467212922,90
1467212922,90
1467212922,90
1467212922,90
1467212922,90
1467212922,90
1467212923,90
1467212927,90
1467212928,90
1467212930,90
1467212932,90
1467212934,90
1467212936,90
1467212937,90
1467212940,90
1467212941,90
1467212944,90
1467212945,90
1467212949,90
1467212951,90
1467212952,90
1467212961,90
1467212963,90
1467212964,90
1467212965,90
1467212969,90
1467212969,90
1467212969,90
1467212969,90
1467212969,90
1467212970,90
1467212970,90
1467212970,90
1467212970,90
1467212970,90
1467212970,90
1467212970,90
1467212970,90
1467212970,90
1467212970,90
1467212971,90
1467212980,90
1467212982,90
1467212982,90
1467212983,90
1467212983,90
1467212983,90
1467212983,90
1467212983,90
1467212983,90
1467212983,90
1467212984,90
1467212985,90
1467212985,90
1467212985,90
1467212989,90
1467212998,90
1467212998,90
1467212998,90
1467212998,90
1467212998,90
1467213005,90
