current,start_time,end_time
-4.20E-01,,
-4.19E-01,,
-4.20E-01,,
-4.23E-01,,
-4.19E-01,,
-4.20E-01,,
-4.21E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.20E-01,,
-4.22E-01,,
-4.20E-01,,
-4.20E-01,,
-4.21E-01,,
-4.20E-01,,
-4.20E-01,,
-4.20E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.20E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.20E-01,,
-4.19E-01,,
-4.20E-01,,
-4.20E-01,,
-4.19E-01,,
-4.19E-01,,
-4.23E-01,,
-4.19E-01,,
-4.22E-01,,
-4.21E-01,,
-4.20E-01,,
-4.19E-01,,
-4.19E-01,,
-4.20E-01,,
-4.20E-01,,
-4.19E-01,,
-4.20E-01,,
-4.12E-01,,
-4.14E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
